# index, meta, _pos
5191,samfw,"array([-66.3469186 ,  -1.15478726])"
5192,osfameron,"array([-69.92844689,   1.94487918])"
5193,Twilight1,"array([-10.3851159 ,  40.07849772])"
5194,McDMaster,"array([-294.84049571, -216.48052449])"
5195,ngps,"array([-63.98279857, 376.62937353])"
5196,rahul,"array([260.77435395, 248.1146638 ])"
5197,ewsdk,"array([ 1.05906972, 42.79548985])"
5198,calennert,"array([-65.52044871,  62.30761693])"
5199,swc,"array([-144.97999347, -355.70151271])"
5200,jdum,"array([272.8719818 , 270.55908297])"
5201,hgolden,"array([-46.58556783,  41.43349519])"
5202,student,"array([-65.17628138,  25.16045445])"
5203,byone,"array([-15.81509952,  13.63741   ])"
5204,axlnikon,"array([-242.69072522, -220.35470124])"
5205,sedawkgrep,"array([356.68477805, -91.42673809])"
5206,AxelB,"array([-90.08494795,  15.07495135])"
5207,nainauy,"array([  76.29937311, -295.39868493])"
5208,johnd,"array([-137.29689334, -267.23521389])"
5209,bulldog,"array([-421.41460202,   29.48996851])"
5210,MyCustomWeb,"array([-19.704354  , 358.83914841])"
5211,umanets,"array([-279.69284073,  190.94948795])"
5212,Stiivi,"array([-15.22895648,  -8.20901604])"
5213,danielwang,"array([-52.72015966,  -1.26661595])"
5214,alin,"array([ 5.0764555 , 56.34726227])"
5215,pmb,"array([   5.33193721, -254.60493208])"
5216,hakan,"array([-324.98191627,    6.31409123])"
5217,Lery,"array([23.85998794, 49.58635032])"
5218,ghutchis,"array([-44.23721412,  -6.23477657])"
5219,benjack,"array([ -84.55952456, -294.3342796 ])"
5220,BoonDock,"array([378.04214785,  28.08784667])"
5221,st1,"array([-362.01545826,    0.6299947 ])"
5222,colleendecourcy,"array([183.06214197, 255.89521799])"
5223,asanchez,"array([-20.05499214,   5.05775951])"
5224,vt,"array([-296.46533161,  314.66697624])"
5225,iraw,"array([-292.18436943,  312.91014174])"
5226,vineethm,"array([-48.3418642,  79.8356191])"
5227,ora,"array([ 193.9298627 , -166.84922604])"
5228,BenBun,"array([17.57856904, 38.65035223])"
5229,SooTy,"array([-223.55489788, -280.43458164])"
5230,silver,"array([48.56582271, 10.78094325])"
5231,btv,"array([24.82946196, 18.69060939])"
5232,khashayar,"array([63.74820493,  5.86186382])"
5233,hyle,"array([ -69.3868016 , -295.42844402])"
5234,fismith,"array([-41.52139609,  76.87080766])"
5235,modred,"array([-46.55822522,  68.95701175])"
5236,anhinga,"array([-47.89613824,  73.46118513])"
5237,dams,"array([-65.68163894,  36.48962125])"
5238,aduncan,"array([260.85599952, 261.03101511])"
5239,ru,"array([-45.34879515,  53.42192334])"
5240,sakhi,"array([173.87343135, 329.69978312])"
5241,Graeme,"array([-21.01490987,   4.17596493])"
5242,qta,"array([213.51196467, 300.78221707])"
5243,aratee76,"array([-13.62172669,  14.16452776])"
5244,patricka,"array([ 8.02894206, -7.8341039 ])"
5245,adamdunkels,"array([-25.18487522,   1.72690015])"
5246,dgarcia,"array([  80.88904765, -260.35750732])"
5247,matthew,"array([-21.24397949,  72.17684982])"
5248,mcjason,"array([-12.91649957,  98.72597086])"
5249,TerrelShumway,"array([  16.13983409, -306.73292455])"
5250,bhaskarOnline,"array([294.31828561, 130.0943457 ])"
5251,anser,"array([-5.22006949, 41.63623027])"
5252,mazzabr,"array([-80.56559614,  45.18093718])"
5253,aviram,"array([-22.89566427,   0.16838617])"
5254,gregorb,"array([-18.29807013, -21.00915049])"
5255,Bcorr,"array([332.58318312,  -0.9259697 ])"
5256,mvevers,"array([ 5.54855158, 72.37178896])"
5257,maxsi,"array([277.29148937,  40.40957632])"
5258,Walter,"array([360.65873697, 106.26078035])"
5259,surav,"array([147.14091651, 283.884922  ])"
5260,netfighter,"array([-86.93686878,  49.81658685])"
5261,gambuzino,"array([4.23259419, 3.28541664])"
5262,jme,"array([ 1.65413481, 17.44424046])"
5263,rattus,"array([-13.47184836,  12.55335077])"
5264,zeeman,"array([140.36026042, 393.9292883 ])"
5265,vincentvatter,"array([-16.64414444,  67.55581525])"
5266,interiot,"array([-32.94791647,  92.32169704])"
5267,cjoh,"array([-26.81814215,  90.97843257])"
5268,atrn,"array([-23.71783123,  74.63885149])"
5269,jlatour,"array([-56.43553872,  31.6873186 ])"
5270,fbscarel,"array([-39.69147729,  26.53738463])"
5271,osewa77,"array([-353.79196541,  226.83467257])"
5272,dh,"array([-25.76252022, 390.89693465])"
5273,jeff,"array([-16.78885467,  75.32748142])"
5274,Erebus,"array([  82.69783245, -338.37791942])"
5275,alisa,"array([-108.24523241, -293.115704  ])"
5276,draven,"array([-335.00905141,  211.00621883])"
5277,zmin,"array([-93.9720934 , 438.78775727])"
5278,ptk,"array([-8.39818514, 19.78549954])"
5279,schouw,"array([263.15256455,   1.45146771])"
5280,kelnos,"array([-62.97898354,  82.91644414])"
5281,sofar,"array([-74.52016753, 100.81127933])"
5282,Vinnl,"array([-71.95794644,  96.27391381])"
5283,araeed156,"array([-55.52196273,  47.93499998])"
5284,redhog,"array([-60.23055663,  28.25880456])"
5285,spl,"array([-83.99340464,  60.22923318])"
5286,sergio,"array([ 9.31870474, 41.07268201])"
5287,gch,"array([-39.6390114 ,  88.65628197])"
5288,hornbeck,"array([334.02491112, 186.57129829])"
5289,hrishi,"array([14.88167213, 42.54738101])"
5290,grem,"array([-12.73210593,  47.43183177])"
5291,davep,"array([-20.88757181,  13.92559967])"
5292,toady,"array([-184.96465333,  414.4110826 ])"
5293,brianisinfifthgrade,"array([-377.71552572,  -89.61300639])"
5294,muzammil,"array([305.68368844, 241.88453799])"
5295,jed,"array([-6.45677043, 58.12557409])"
5296,ahiliation,"array([-32.72620382,   6.3566148 ])"
5297,Avail,"array([222.72921094, 249.08015777])"
5298,amledin,"array([ 15.79051206, 103.30869867])"
5299,wordmonkey,"array([ 25.09917948, 116.44831277])"
5300,lusop,"array([-334.97942586,  -66.70467127])"
5301,bradyn,"array([-50.05143151,  21.71597489])"
5302,dairiki,"array([-51.00104664,  76.88774115])"
5303,cit,"array([-87.16626546,  22.50394757])"
5304,tojabr,"array([-137.1536647,  418.5090165])"
5305,tm2,"array([17.96684042, 28.72073866])"
5306,aeg,"array([-377.08467648,  153.56541085])"
5307,immortal,"array([ -1.78702159, 338.70942278])"
5308,puzzled,"array([  28.81306319, -304.41879576])"
5309,schweikert,"array([10.63363981, 75.97669201])"
5310,ypwong,"array([-51.15166868,  63.14844546])"
5311,simonzhan,"array([-227.63093511,  393.87835228])"
5312,srw,"array([-34.57564594, -13.98384201])"
5313,StephanPeijnik,"array([-33.83308868,  16.154526  ])"
5314,chneukirchen,"array([279.59496578,  -1.95537431])"
5315,rsync,"array([11.24668176, 23.04029551])"
5316,classen,"array([-72.07908781,  50.23574359])"
5317,petree,"array([-6.81353726, 80.82093282])"
5318,sutic,"array([ -93.92105467, -250.55354519])"
5319,kobra,"array([285.14759875, -17.93011414])"
5320,DaveMalcolm,"array([-32.83903311,   5.16079782])"
5321,tomasf,"array([-40.00520521, -15.21280766])"
5322,hussein,"array([-33.31383491,   3.08114019])"
5323,steinn,"array([-38.92175372, -11.31014914])"
5324,casey,"array([-27.80604452,  38.63939849])"
5325,codebuster,"array([263.83658706, 197.73726379])"
5326,jure,"array([-413.52168932,   14.10151648])"
5327,markos,"array([-417.06644531,   12.5956719 ])"
5328,dscribner,"array([ 6.92285676, 55.99762091])"
5329,klaus,"array([223.51726095, 261.90336902])"
5330,mattice,"array([-365.85768859,  -53.59541862])"
5331,mauser,"array([-160.80751332,  326.62715631])"
5332,JSeger,"array([9.49460186, 8.42013288])"
5333,suzi,"array([ 3.389085  , 32.17845872])"
5334,jackoms,"array([305.38722835, -33.11028375])"
5335,gokohnert,"array([-38.11553348,  71.88306339])"
5336,SAMIRHARATY,"array([249.22790876, 202.07387172])"
5337,hal9000,"array([ 49.95084625, 329.76866475])"
5338,wyattearp,"array([-226.5465985 ,  333.20634813])"
5339,reb,"array([-188.91012855,  334.34189585])"
5340,gitm,"array([ 175.82696098, -216.86975139])"
5341,varelse,"array([-61.1764074 ,  58.13379966])"
5342,adrianbye,"array([-31.67734937,  57.187162  ])"
5343,Curious,"array([-31.10344349,  90.83111249])"
5344,frob,"array([-49.98868952, -19.07801315])"
5345,cwilson,"array([ 5.32380953, 83.62703518])"
5346,scw,"array([ 9.32728496, 61.34701723])"
5347,cuteonly4u89,"array([187.43491867, 364.30071244])"
5348,Doobie,"array([-354.57708511,  -49.17588467])"
5349,LordShrill,"array([ 271.35077924, -172.52450185])"
5350,djung,"array([-167.32484723,  340.21771963])"
5351,idallen,"array([-2.95437953, 23.63131814])"
5352,ienna,"array([-21.04408521, -12.68843809])"
5353,icewarriorlady,"array([-23.39375115, -12.19141032])"
5354,risa,"array([-9.54337269,  1.4129508 ])"
5355,pulsar,"array([-14.16254732,   6.20258929])"
5356,creep,"array([-227.60271951, -254.23072711])"
5357,negro,"array([-13.1463773 ,  52.58020285])"
5358,moronis,"array([-9.0420859 , 50.95938316])"
5359,rmolina,"array([-18.90295592,  -1.90555956])"
5360,leuce,"array([-344.51215049, -159.95398812])"
5361,HamishLawson,"array([  9.40882408, 386.93463505])"
5362,markpratt,"array([-85.72278885,  20.68270854])"
5363,ernani,"array([-42.51484098,  52.15126146])"
5364,hildeb,"array([ 272.1970262 , -188.07706494])"
5365,innerfire,"array([-99.24224618, 404.98779656])"
5366,bigpaul,"array([ 7.52513277, 35.03669283])"
5367,toniw,"array([-47.68616813, -16.90038135])"
5368,shwag,"array([-2.21818485, 53.98700425])"
5369,rmach,"array([-0.44429382, 65.03845606])"
5370,sonoffreak,"array([ 3.83171843, 62.57683347])"
5371,ianaverybryant,"array([-57.58363841,  -5.43918474])"
5372,straznp,"array([11.06976904, 40.93722214])"
5373,tom2,"array([-298.51832327,  330.60590139])"
5374,kg6cvv,"array([17.34630077, 17.70463891])"
5375,rajasheker,"array([-253.88995383, -258.78090984])"
5376,crulx,"array([13.99311445, 31.26873304])"
5377,tuxist,"array([339.26721197,  11.02556011])"
5378,criley,"array([297.62379445,  76.36900638])"
5379,laxdragon,"array([-65.62895285,  29.23164262])"
5380,bbrock,"array([-76.47715537,  28.51466848])"
5381,mskranz,"array([-19.09298022,   4.12806838])"
5382,fedork,"array([-320.7304597 ,  204.12490792])"
5383,rafiq,"array([13.10382452, 58.03648787])"
5384,StreetSlang,"array([-185.67032519, -218.5040665 ])"
5385,robbat2,"array([-43.88337999,  33.29299084])"
5386,liff,"array([ 6.39108722, 15.55714935])"
5387,jaseb,"array([-359.58115282,  279.08706934])"
5388,Killerbees,"array([-62.05763304,  55.42872535])"
5389,myc,"array([ -8.21866363, -20.41395656])"
5390,jmp,"array([-15.57285549,  -1.68001799])"
5391,DiamondChula25,"array([-257.04479467, -304.6949043 ])"
5392,etc,"array([250.80167094, 159.89009241])"
5393,brycec,"array([138.11452011, 295.56150213])"
5394,mental,"array([377.32583002,  62.07069288])"
5395,Acolon,"array([-47.12174677,  65.40591539])"
5396,SattVic2uShaoyin,"array([ -43.39660038, -257.39586178])"
5397,Kishore,"array([-150.1305893 , -274.50523178])"
5398,Jerub,"array([-52.60704906,  59.08080361])"
5399,sirinath,"array([-65.23434872, -13.48907433])"
5400,buba,"array([ 176.10605551, -243.54887611])"
5401,koyo,"array([ 282.74807903, -163.89349807])"
5402,JesseBlue,"array([ 9.55538998, 34.39468557])"
5403,zecke2,"array([-23.5100779 ,  -4.61371692])"
5404,Linegod,"array([ 332.5452979 , -151.73531068])"
5405,timbu,"array([-292.26690762,  226.84766309])"
5406,schumaml,"array([ 1.76077489, 31.94454755])"
5407,moore,"array([ 9.52559183, 50.16070156])"
5408,DiegoDiaz,"array([262.18420075,  54.23581436])"
5409,jeyk,"array([283.71673757,  21.97672905])"
5410,ordinary,"array([-4.2415357 , 58.12972293])"
5411,demacintosh,"array([-251.10543401, -177.2141521 ])"
5412,color,"array([-64.18843267,   8.57610706])"
5413,m0rbid,"array([216.77279519, 219.4327325 ])"
5414,mornlee,"array([307.10843865, 124.98353047])"
5415,ted,"array([-79.23227387,  -3.10547387])"
5416,djcapelis,"array([-34.87161232,   7.75426271])"
5417,aseigo,"array([-33.22670795, -23.07024324])"
5418,grldshmkr,"array([ 247.42167299, -199.89442164])"
5419,aaaa,"array([-369.73935606,  -98.98804274])"
5420,jmr,"array([-9.90092539, -2.69504734])"
5421,rat,"array([-16.62995193,  -6.22101916])"
5422,shrao,"array([-62.08145988,  64.11367849])"
5423,msmarcal,"array([-25.75196852,  -8.44439387])"
5424,macypa,"array([-334.50470736,  174.04141124])"
5425,Shizukesa,"array([-34.77802649,  90.55567672])"
5426,Shaman,"array([-16.95798439,   7.66662315])"
5427,sadam,"array([-406.9211365 ,  178.76455842])"
5428,binbrain,"array([-408.89106502,  182.98332245])"
5429,acoster,"array([-12.2222624 ,  -5.78871409])"
5430,syl,"array([-18.78332562,  49.08829513])"
5431,drs,"array([-52.93415157,  -8.97438629])"
5432,major,"array([-63.28926322,  -4.65743072])"
5433,rogoyski,"array([-10.38181713,  31.32346235])"
5434,RSevrinsky,"array([-243.93118237,  260.30248364])"
5435,maverick,"array([-48.68905254, 409.69266577])"
5436,bcc,"array([-64.59710701,   1.13941021])"
5437,dln,"array([-62.63931908,  -2.22548438])"
5438,dmcc,"array([-71.09002223,   4.3625599 ])"
5439,cstross,"array([-67.85459431,   2.21119584])"
5440,bugbiter,"array([-66.45172794,   0.95633106])"
5441,rengolin,"array([-47.00606163,   8.49490248])"
5442,aldo,"array([-22.40485428,  12.22854607])"
5443,BigNachos,"array([-76.24656721,  61.5027891 ])"
5444,cowbutt,"array([258.67122775, 212.23140406])"
5445,mohamed,"array([-290.51936755, -101.79577691])"
5446,omidmottaghi,"array([-20.80958996,  78.39384566])"
5447,codehelp,"array([-26.01704348,   2.87821813])"
5448,luk,"array([-22.39819315, -16.41476664])"
5449,mwright,"array([-357.5616341 ,  167.56019458])"
5450,far,"array([-7.96469593,  1.98186293])"
5451,amberarcher,"array([-78.05077569,  37.97855607])"
5452,muniery,"array([252.0325819, 302.9615491])"
5453,franciosi,"array([ 145.66058076, -218.90673913])"
5454,mario,"array([-45.0246553 ,   2.34824286])"
5455,miconof,"array([-40.22412527,   8.20562302])"
5456,itadmin,"array([-37.08249497,  32.41144512])"
5457,arasole86,"array([-48.44016594,  31.11428511])"
5458,victorw,"array([ 140.22541963, -291.22672406])"
5459,ricborn,"array([ -18.69033272, -271.8355313 ])"
5460,sychon,"array([-266.20479125,  275.38462522])"
5461,gilbert,"array([108.84501165, 399.66300874])"
5462,cl135429,"array([104.71124067, 397.84600938])"
5463,Mac,"array([-3.8385016 , 10.26335176])"
5464,girishpundlik2005,"array([-148.13773833,  359.55572221])"
5465,Rin,"array([-59.50851685,  19.45290178])"
5466,guttu,"array([282.55072389, 218.82904533])"
5467,mattgerg,"array([10.56448114, 59.36753944])"
5468,robosha,"array([151.18816424, 320.21359086])"
5469,lyma,"array([  -9.24070256, -350.00182778])"
5470,joone,"array([-6.98325017, 15.99706604])"
5471,gmoore,"array([-28.53773113,  48.04281535])"
5472,Highlander,"array([-63.55734766,  18.38681025])"
5473,frieseltine,"array([274.95674074, 184.31472922])"
5474,ara0d206,"array([-20.31124538,  59.13330101])"
5475,andago,"array([-5.30115044, 86.90106663])"
5476,nethescurial,"array([ 297.79499477, -185.92702467])"
5477,Jayniz,"array([-192.85646286,  348.14431979])"
5478,whitinger,"array([-5.01736458, 47.79956924])"
5479,phessler,"array([-62.3895226 ,  43.50102911])"
5480,dent,"array([ 231.15978125, -152.91927985])"
5481,chuckw,"array([12.78369404, 23.10803524])"
5482,Whizziwig,"array([-32.6248946 ,  64.37283788])"
5483,amit,"array([-10.12115987,  53.26201428])"
5484,audioNate,"array([-32.67906253,  11.39873581])"
5485,stevegt,"array([-23.49968306,  48.3145799 ])"
5486,sydelko,"array([-30.96911675,  79.85893041])"
5487,kennell,"array([-31.16243686,  85.13407159])"
5488,Morendil,"array([-74.41558447,  54.80829211])"
5489,CJA,"array([-63.30308288,  39.1381847 ])"
5490,rvr,"array([-37.97997278,   5.26712127])"
5491,LightArk,"array([-37.65040109, -16.47867282])"
5492,aratype26,"array([-27.95483226,  51.7411798 ])"
5493,konos,"array([-29.31669878,  73.07351499])"
5494,nodata,"array([ 188.01770144, -223.79883837])"
5495,river,"array([132.68152339, 357.18120188])"
5496,cushman,"array([ 193.83662671, -180.14930044])"
5497,stevecassidy,"array([-51.70606673,  22.21671614])"
5498,Helvetix,"array([ 3.75126543, 26.36565795])"
5499,gdgupta,"array([14.62665327, 44.51865334])"
5500,yob,"array([ 15.3324798 , -13.95830973])"
5501,tc,"array([ 3.19561779, -1.46573231])"
5502,angelk,"array([-154.83450452, -291.18014031])"
5503,cest,"array([-150.3542934 , -291.44386604])"
5504,InceptionOS,"array([128.38879606, 282.57104838])"
5505,Djarid,"array([141.09325259, 271.49401523])"
5506,Bee,"array([-31.48989944,  81.68578745])"
5507,hald,"array([-28.20620951, -14.11107491])"
5508,saidcommercial,"array([-36.29776539,  33.97341772])"
5509,Andree,"array([-34.14619752,  41.78460744])"
5510,zedek,"array([ -0.86626274, 443.90215259])"
5511,tiago,"array([ 1.45528043, 28.9321214 ])"
5512,immunizer,"array([-55.38844877,  75.85898068])"
5513,void1,"array([-392.41887313,  -25.27991066])"
5514,void,"array([-389.67444465,  -21.55603458])"
5515,pevva,"array([231.20620716, 283.44934421])"
5516,moc,"array([190.91262506, 350.78541526])"
5517,munk,"array([-314.48606228, -185.55761368])"
5518,yositune,"array([-348.55086194,  -71.58628174])"
5519,alpha,"array([-36.80602207,  61.03813932])"
5520,thagale,"array([-25.19816304,  73.64561205])"
5521,thibaut,"array([-72.43339832,   2.5995224 ])"
5522,ciropom,"array([-52.51513693,   1.95186273])"
5523,amey,"array([-37.9841252 ,  -9.21780121])"
5524,almuric,"array([229.10339895, 224.44587347])"
5525,AndreasK,"array([169.52549794, 364.40623362])"
5526,ezzeldingod,"array([-56.93801348,  55.70216139])"
5527,leshert,"array([283.63617791,  79.57969556])"
5528,fervp,"array([-12.38053414, 432.84625985])"
5529,ym1983,"array([-218.40812145,  355.1158741 ])"
5530,billsb,"array([-38.96767919,  79.215657  ])"
5531,iceman,"array([-375.2678977 , -134.98926239])"
5532,morteza,"array([-175.31205115, -264.20213273])"
5533,i386,"array([-14.05404099, -24.32433845])"
5534,mahanare,"array([299.68705485, 217.14453472])"
5535,kih,"array([-3.30885637, 62.08953336])"
5536,sethg,"array([-65.33913041,  77.97152121])"
5537,aq,"array([237.07152127, 306.6309218 ])"
5538,gopi,"array([-168.63546988,  421.54607069])"
5539,bombastic,"array([-47.64266421,  35.98653078])"
5540,caro,"array([-98.09667421, 366.87927776])"
5541,kers,"array([-59.26543673,  11.17203989])"
5542,kongyew,"array([-360.21658951,  -65.19155577])"
5543,springfield,"array([-437.39408714,   88.48266857])"
5544,het,"array([-12.96678701,  87.82770106])"
5545,BlueJeanbaby9372,"array([ 256.74013076, -255.79130051])"
5546,seanl,"array([-171.13980092, -291.03702022])"
5547,zcbmzcbm,"array([-0.98196039, 75.15144081])"
5548,magog,"array([18.68393991, 32.64439014])"
5549,jlof,"array([-0.67475215, 30.33625219])"
5550,mcoletti,"array([-14.54834449,  50.97163884])"
5551,rpm,"array([-32.6060754,  68.1231103])"
5552,initself,"array([-4.83708884, -1.36418173])"
5553,nobby,"array([-72.39501459,  63.2660876 ])"
5554,godefroy,"array([  54.59812463, -312.37021892])"
5555,Anguo,"array([-164.28451729, -345.67940546])"
5556,LetterJ,"array([-159.85017308, -347.10468471])"
5557,pbirmingham,"array([-1.72749248, 95.45990312])"
5558,bmann,"array([-37.98302009, -19.67995879])"
5559,owrede,"array([-79.73540205,  60.28941066])"
5560,karingo,"array([-15.86275049,  71.19616867])"
5561,jmcg,"array([21.61459197,  7.78005201])"
5562,locust,"array([-21.42485209,  90.75948285])"
5563,fhief,"array([155.53471752, 367.40744898])"
5564,HansWolters,"array([ 37.84084237, 348.73433827])"
5565,mustafa,"array([  95.12207601, -353.21294635])"
5566,magKong,"array([20.21613569, 39.63461323])"
5567,TimCook,"array([-362.833025  ,  251.98795017])"
5568,FungosBauux,"array([-21.6195289,  20.3520332])"
5569,davidd,"array([-429.09874815,  -60.09658019])"
5570,c7g,"array([ -48.20646555, -343.86143469])"
5571,boski66,"array([ 47.33008912, 402.22669145])"
5572,dtight,"array([ 111.56141136, -347.32251865])"
5573,typo,"array([-31.00372334,  73.54598325])"
5574,godfather,"array([ 117.52881194, -309.23679732])"
5575,powertech,"array([ 278.35025187, -151.56325309])"
5576,zor0n,"array([-351.18760608,  154.4261039 ])"
5577,aleck,"array([ 2.36018457, 71.75075094])"
5578,JulianM,"array([ 6.2114513 , 59.85019691])"
5579,shew,"array([ 2.9102502 , 52.84098481])"
5580,baden,"array([ 81.25745859, 382.217968  ])"
5581,AntiTuX,"array([324.82532431,  49.16821747])"
5582,panner,"array([11.16514912, 83.50182564])"
5583,doguglasdel,"array([-8.49174087, 54.7823757 ])"
5584,nleitao,"array([-348.7431732,  292.6374522])"
5585,nenolod,"array([-300.84927784, -255.64200648])"
5586,memeyou,"array([-20.86149713,  -2.95017409])"
5587,TheRoxo,"array([-71.54787779,  52.4000564 ])"
5588,deric,"array([199.28716921, 252.97042284])"
5589,freephile,"array([-75.94945458, 414.00832481])"
5590,toma,"array([ 1.22573476, 10.93166499])"
5591,offensive,"array([181.40506837, 235.53197927])"
5592,oghinet,"array([-370.43743825,  167.30553652])"
5593,vigu,"array([-362.43624551,  -12.69131369])"
5594,texaspbig,"array([ -82.71936334, -266.11439162])"
5595,djmaucom,"array([-394.77067029,   90.55798586])"
5596,juliux,"array([-59.52415117, -14.7643326 ])"
5597,ptwithy,"array([-60.70823161,   5.0887409 ])"
5598,henrique,"array([-43.53551308,  20.48223406])"
5599,sindoc,"array([-56.56432929, -16.3461439 ])"
5600,cddr,"array([-57.5912591 , -20.45252865])"
5601,lohengrin,"array([-61.28185061, -11.49088757])"
5602,njerpe,"array([-72.7623625 , -11.19367869])"
5603,thatha,"array([-71.34099833,  -7.02742737])"
5604,acj,"array([-69.30915396,  -6.87859188])"
5605,thouters,"array([-69.32785883, -15.2292446 ])"
5606,cheery,"array([-63.21506852, -12.48646605])"
5607,nihed,"array([-67.1218992 ,  -8.06298676])"
5608,jmbr,"array([-65.01060003, -11.35565592])"
5609,tx0,"array([-66.93105478, -12.3475348 ])"
5610,Skout,"array([-64.8670382 ,  -9.03037755])"
5611,cvr,"array([-73.28874669,  -8.89740165])"
5612,neelk,"array([-63.36130012, -14.6118966 ])"
5613,kadoubek,"array([-61.42147699, -15.62529535])"
5614,elmuerte,"array([-54.90181017, -20.04016682])"
5615,tinixtech,"array([-68.51974386, -10.92287954])"
5616,ringmaster,"array([-65.28760429, -15.66295058])"
5617,smokris,"array([-58.67452242, -16.4106679 ])"
5618,quasi,"array([-58.85285555,  -0.84473085])"
5619,hugoduncan,"array([-54.53711607, -17.17491967])"
5620,zitterbewegung,"array([-62.71013307, -18.8603651 ])"
5621,AlisonW,"array([-73.46369802,  -6.4684451 ])"
5622,NgoThanhNhan,"array([-61.51895549, -13.58467675])"
5623,CaptSolo,"array([-67.22768623, -16.71330161])"
5624,salaty,"array([-71.25410518, -13.40129285])"
5625,woggel,"array([-69.06273202,  -9.00923427])"
5626,rosorio,"array([-63.14284992, -16.71404993])"
5627,chrismear,"array([-66.59477057, -10.08165354])"
5628,serverhorror,"array([-71.0893861 ,  -9.18788749])"
5629,jhelwig,"array([-56.44459988, -18.41621304])"
5630,logicfee,"array([-52.85989104, -18.47831075])"
5631,gjhiggins,"array([-58.69793252, -18.46381054])"
5632,ottok,"array([-57.3963125 , -14.18596081])"
5633,mehrabun,"array([-67.10260435, -14.43500133])"
5634,ws4u,"array([-60.44847809, -19.67018266])"
5635,nilarimogard,"array([-65.11138457, -17.94652869])"
5636,xekoukou,"array([-70.45088659, -11.19866753])"
5637,Dianora,"array([-68.49856928,  10.29241892])"
5638,tylergillies,"array([-59.27318933, -12.83137538])"
5639,bmericc,"array([-69.04837267, -13.06824825])"
5640,gtklocker,"array([-60.79351517, -17.48670586])"
5641,bramsey,"array([-387.00097077,  235.62043939])"
5642,stackpopper,"array([-104.71666515,  331.81551815])"
5643,thexplorer,"array([ -55.00503367, -320.1280156 ])"
5644,f1r3br4nd,"array([-130.05853111,  398.87634723])"
5645,noeld,"array([15.23716674, 34.93866233])"
5646,Archeron,"array([-439.50920371,    6.32907972])"
5647,jk,"array([-71.05879548,  60.61800256])"
5648,mercoeur,"array([-291.64465977,  272.49994755])"
5649,dltxprt,"array([-55.2967001 ,  46.26942941])"
5650,shinta,"array([-82.34094314,  62.03666927])"
5651,aal,"array([24.87773519, 35.06197793])"
5652,wnoise,"array([-32.67492031,  89.25990868])"
5653,mis,"array([-46.54757846,  -7.53890515])"
5654,coffelius,"array([-29.14667357,  -1.71993751])"
5655,percious,"array([-72.95272057,  45.87497809])"
5656,tuxzone,"array([-55.37601813,  73.62491643])"
5657,emartel,"array([274.72330467,  11.18890613])"
5658,AvEng,"array([ 1.49926468, 48.73789133])"
5659,onegeekadvogato,"array([15.24285198, 54.54079317])"
5660,pupq,"array([ 166.02402588, -179.51309271])"
5661,jwhiter,"array([-6.47111374, 20.20467869])"
5662,karinkoopmans,"array([-118.25588417, -300.82777327])"
5663,maketo,"array([-308.24181305,  -57.43015767])"
5664,Dartanyan,"array([-168.60758032,  391.22528707])"
5665,mjstahl,"array([-48.6265245 , -14.49215106])"
5666,lpolzer,"array([-196.43289557, -307.96970908])"
5667,zodiac,"array([-50.0058991 ,  74.83235459])"
5668,paco,"array([343.22778255, 200.29196733])"
5669,Miham,"array([ -34.04422396, -272.48268187])"
5670,jaygray,"array([ 266.07656446, -131.56611726])"
5671,pixelcort,"array([ 1.95288853, 68.94772504])"
5672,sidr,"array([-10.85120056,  56.95633541])"
5673,NoWhereMan,"array([-20.61203672,  53.70439919])"
5674,scamm420,"array([-292.44465769, -143.09916889])"
5675,seeker,"array([ 248.52936494, -243.87709239])"
5676,ivar,"array([29.18714019, 33.18117301])"
5677,ron4ld,"array([ 139.75744888, -241.03754937])"
5678,tchambery,"array([-83.52316123,  75.29280031])"
5679,vboctor,"array([-411.33322616,   -6.33570424])"
5680,bko,"array([-13.21193007,  72.18721457])"
5681,budhull,"array([ 22.40449733, 409.13909256])"
5682,luthiano,"array([-29.9067648 ,  93.46435407])"
5683,marcos,"array([ 2.94831961, 15.24251789])"
5684,EwS,"array([12.19620984, 39.53677025])"
5685,patthoyts,"array([-5.36890051, 24.14199738])"
5686,Marshall,"array([-33.64402538,  87.45429516])"
5687,toofani,"array([-185.12598251,  358.81780006])"
5688,icez,"array([-331.78915408,   94.83677318])"
5689,urglacier,"array([-46.82241349, -12.64420074])"
5690,motty,"array([-17.37593886,  43.03654373])"
5691,nanda,"array([  81.54566111, -323.06779347])"
5692,ryutin,"array([-257.36037154, -201.19585033])"
5693,philnyc,"array([   3.53580177, -301.14840633])"
5694,x11,"array([-19.64009172,  -8.97549336])"
5695,nirmeshmit,"array([ 10.83649667, 401.20193344])"
5696,clf55,"array([-339.28525715,  223.84002606])"
5697,sabetts,"array([-38.24864614,  66.0347116 ])"
5698,Budgester,"array([10.3695518 , 21.50918283])"
5699,matthewd,"array([-33.93208265,  -6.06626445])"
5700,nthiery,"array([361.12615   ,  86.69923458])"
5701,cthomaz,"array([-349.78989308,  -17.43678971])"
5702,scs,"array([-12.43669208,  58.80711518])"
5703,sausageboy,"array([ 8.68673206, 79.93513509])"
5704,brandon,"array([ 7.58055006, 63.67146605])"
5705,off,"array([ 206.10745677, -155.1238471 ])"
